;ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_TIENEETNIA;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_CODIGO_ICFES;COLE_COD_DANE_ESTABLECIMIENTO;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_COD_DANE_SEDE;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_COD_MCPIO_UBICACION;COLE_MCPIO_UBICACION;COLE_COD_DEPTO_UBICACION;COLE_DEPTO_UBICACION;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;DESEMP_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;DESEMP_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;DESEMP_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;DESEMP_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;DESEMP_INGLES;PUNT_GLOBAL;PERCENTIL_ESPECIAL_GLOBAL;PERCENTIL_GLOBAL;ESTU_ESTADOINVESTIGACION
6929;TI;COLOMBIA;M;22/05/2003;20211;SB11202110011201;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  3;7  a  8;Seis  o  mas;No  sabe;No  sabe;No  sabe;Es  vendedor  o  trabaja  en  atención  al  público;Si;Si;Si;Si;Si;Si;Si;Si;0  A  10  LIBROS;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;1  o  2  veces  por  semana;Igual;30  minutos  o  menos;Entre  1  y  3  horas;0;No;17079;376001000306;COLEGIO  LEONÍSTICO  LA  MERCED;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001000306;COLEGIO  LEONÍSTICO  LA  MERCED;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;63;49;3;68;68;3;59;49;3;51;29;2;70.0;48.0;B1;305;;48.0;PUBLICAR
6922;TI;COLOMBIA;F;08/03/2004;20211;SB11202110012055;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Dos;No  sabe;Educación  profesional  completa;Es  operario  de  máquinas  o  conduce  vehículos  (taxita,  chofer);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;No;Si;Si;Si;No;11  A  25  LIBROS;3  a  5  veces  por  semana;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Igual;Entre  30  y  60  minutos;Entre  1  y  3  horas;0;No;17079;376001000306;COLEGIO  LEONÍSTICO  LA  MERCED;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001000306;COLEGIO  LEONÍSTICO  LA  MERCED;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;67;68;4;63;52;3;66;75;3;62;58;3;70.0;47.0;B1;325;;61.0;PUBLICAR
10815;CC;COLOMBIA;F;21/01/2002;20211;SB11202110025114;ESTUDIANTE;COLOMBIA;No;HUILA;41.0;NEIVA;41001.0;Estrato  1;3  a  4;Tres;No  sabe;Primaria  incompleta;No  sabe;Trabaja  como  personal  de  limpieza,  mantenimiento,  seguridad  o  construcción;No;Si;No;No;Si;No;No;No;0  A  10  LIBROS;Todos  o  casi  todos  los  días;1  o  2  veces  por  semana;1  o  2  veces  por  semana;Igual;Entre  1  y  2  horas;Entre  30  y  60  minutos;0;No;91967;341001060961;INST  DE  SERVICOS  ACADEMICOS-  IDESA;MIXTO;NO  OFICIAL;A;N;ACADÉMICO;341001060961;INST  DE  SERVICOS  ACADEMICOS-  IDESA;S;URBANO;TARDE;41001;NEIVA;41;HUILA;N;41001;NEIVA;HUILA;41;39;4;2;37;5;2;36;4;1;32;4;1;27.0;1.0;A-;177;;3.0;PUBLICAR
1065;TI;COLOMBIA;F;22/02/2004;20211;SB11202110035566;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;YUMBO;76892.0;Estrato  4;3  a  4;Cuatro;Educación  profesional  completa;Educación  profesional  completa;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Tiene  un  trabajo  de  tipo  auxiliar  administrativo  (por  ejemplo,  secretario  o  asistente);Si;Si;Si;Si;Si;Si;Si;Si;26  A  100  LIBROS;3  a  5  veces  por  semana;3  a  5  veces  por  semana;3  a  5  veces  por  semana;Igual;Entre  1  y  2  horas;Entre  1  y  3  horas;0;No;730010;376892000026;INST  EDUC  SAN  FRANCISCO  JAVIER;MIXTO;NO  OFICIAL;B;N;TÉCNICO;376892000026;INST  EDUC  SAN  FRANCISCO  JAVIER;S;URBANO;UNICA;76892;YUMBO;76;VALLE;N;76001;CALI;VALLE;76;59;37;3;58;38;3;56;41;3;55;38;2;54.0;23.0;A1;284;;35.0;PUBLICAR
7095;TI;COLOMBIA;M;29/10/0003;20211;SB11202110016413;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Cuatro;Técnica  o  tecnológica  completa;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Es  dueño  de  un  negocio  grande,  tiene  un  cargo  de  nivel  directivo  o  gerencial;Si;Si;Si;Si;Si;Si;Si;No;0  A  10  LIBROS;1  o  2  veces  por  semana;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;30  minutos  o  menos;Más  de  3  horas;0;No;31468;376001008544;COLEGIO  LOS  ANDES;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001008544;COLEGIO  LOS  ANDES;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;63;52;3;63;53;3;69;84;3;70;81;3;74.0;54.0;B1;334;;68.0;PUBLICAR
14273;TI;COLOMBIA;M;10/11/2003;20211;SB11202110035662;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  5;1  a  2;Dos;Secundaria  (Bachillerato)  completa;Secundaria  (Bachillerato)  completa;Es  vendedor  o  trabaja  en  atención  al  público;Es  dueño  de  un  negocio  grande,  tiene  un  cargo  de  nivel  directivo  o  gerencial;Si;Si;Si;Si;Si;No;No;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Todos  o  casi  todos  los  días;Mejor;30  minutos  o  menos;Entre  1  y  3  horas;0;No;17293;376001003461;COLEGIO  SAN  ANTONIO  MARIA  CLARET;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001003461;COLEGIO  SAN  ANTONIO  MARIA  CLARET;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;60;40;3;43;11;2;61;57;3;62;59;3;70.0;48.0;B1;288;;38.0;PUBLICAR
96;TI;COLOMBIA;M;05/08/2003;20211;SB11202110055022;ESTUDIANTE;COLOMBIA;No;BOGOTÁ;11.0;BOGOTÁ  D.C.;11001.0;Estrato  4;3  a  4;Tres;Educación  profesional  incompleta;Educación  profesional  completa;Trabaja  por  cuenta  propia  (por  ejemplo  plomero,  electricista);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;3  a  5  veces  por  semana;Igual;Entre  30  y  60  minutos;Más  de  3  horas;0;No;721647;311001093962;ACAD  AMERICANA  DE  SISTEMAS  Y  COMERCIO                                                                                                                              ;MIXTO;NO  OFICIAL;A;N;ACADÉMICO;311001093962;ACAD  AMERICANA  DE  SISTEMAS  Y  COMERCIO                                                                                                                              ;S;URBANO;NOCHE;11001;BOGOTÁ  D.C.;11;BOGOTÁ;N;11001;BOGOTÁ  D.C.;BOGOTÁ;11;48;13;2;51;23;3;49;23;2;42;13;2;67.0;43.0;A2;245;;18.0;PUBLICAR
5026;TI;COLOMBIA;F;21/08/2002;20211;SB11202110001976;ESTUDIANTE;COLOMBIA;No;BOGOTÁ;11.0;BOGOTÁ  D.C.;11001.0;Estrato  6;3  a  4;Tres;Postgrado;Postgrado;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Peor;No  leo  por  entretenimiento;Más  de  3  horas;0;No;19448;311001019941;COL  NUEVA  GRANADA                                                                                                                                                                      ;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;311001019941;COL  NUEVA  GRANADA                                                                                                                                                                      ;S;URBANO;COMPLETA;11001;BOGOTÁ  D.C.;11;BOGOTÁ;N;11001;BOGOTÁ  D.C.;BOGOTÁ;11;77;97;4;73;84;4;75;95;4;73;90;4;86.0;88.0;B+;377;;93.0;PUBLICAR
5226;TI;COLOMBIA;F;28/05/2003;20211;SB11202110003018;ESTUDIANTE;COLOMBIA;No;BOGOTÁ;11.0;BOGOTÁ  D.C.;11001.0;Estrato  5;3  a  4;Tres;Educación  profesional  completa;Postgrado;Es  dueño  de  un  negocio  grande,  tiene  un  cargo  de  nivel  directivo  o  gerencial;Es  dueño  de  un  negocio  grande,  tiene  un  cargo  de  nivel  directivo  o  gerencial;Si;Si;Si;Si;Si;Si;No;No;MÁS  DE  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;30  minutos  o  menos;Entre  30  y  60  minutos;0;No;79285;311001042667;GIMN  FONTANA                                                                                                                                                                                ;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;311001042667;GIMN  FONTANA                                                                                                                                                                                ;S;URBANO;COMPLETA;11001;BOGOTÁ  D.C.;11;BOGOTÁ;N;11001;BOGOTÁ  D.C.;BOGOTÁ;11;70;78;4;71;78;4;72;90;4;75;93;4;80.0;72.0;B+;363;;87.0;PUBLICAR
8514;TI;COLOMBIA;F;04/11/2003;20211;SB11202110001785;ESTUDIANTE;COLOMBIA;No;QUINDIO;63.0;ARMENIA;63001.0;Estrato  4;1  a  2;Dos;Educación  profesional  completa;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;No;Si;Si;No;No;MÁS  DE  100  LIBROS;Nunca  o  rara  vez  comemos  eso;Todos  o  casi  todos  los  días;1  o  2  veces  por  semana;Peor;Más  de  2  horas;30  minutos  o  menos;0;No;100990;463190000443;GIMN  INGLES;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;463190000443;GIMN  INGLES;S;RURAL;COMPLETA;63690;SALENTO;63;QUINDIO;N;63001;ARMENIA;QUINDIO;63;71;83;4;75;87;4;64;69;3;71;86;4;85.0;86.0;B+;357;;83.0;PUBLICAR
4680;TI;COLOMBIA;F;11/06/2004;20211;SB11202110031786;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Tres;Técnica  o  tecnológica  completa;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;Si;Si;Si;Si;No;11  A  25  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Peor;30  minutos  o  menos;Más  de  3  horas;0;No;16709;376001002074;CORPORACION  COLEGIO  AMERICAS  UNIDAS;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001002074;CORPORACION  COLEGIO  AMERICAS  UNIDAS;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;69;76;4;69;72;3;62;63;3;70;83;3;74.0;55.0;B1;340;;72.0;PUBLICAR
15517;CC;COLOMBIA;M;23/11/2002;20211;SB11202110035788;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;PALMIRA;76520.0;Sin  Estrato;;Uno;Secundaria  (Bachillerato)  completa;Secundaria  (Bachillerato)  completa;Trabaja  por  cuenta  propia  (por  ejemplo  plomero,  electricista);Es  vendedor  o  trabaja  en  atención  al  público;Si;Si;Si;No;No;No;Si;No;;1  o  2  veces  por  semana;3  a  5  veces  por  semana;Nunca  o  rara  vez  comemos  eso;Mejor;No  leo  por  entretenimiento;Entre  30  y  60  minutos;Menos  de  10  horas;Si,  en  efectivo;645325;476520003791;COLEGIO  SANTA  TERESITA  DE  ROZO;MIXTO;NO  OFICIAL;B;;ACADÉMICO;476520003791;COLEGIO  SANTA  TERESITA  DE  ROZO;S;RURAL;TARDE;76520;PALMIRA;76;VALLE;N;76520;PALMIRA;VALLE;76;45;10;2;39;6;2;38;5;1;38;8;1;30.0;2.0;A-;196;;5.0;PUBLICAR
2588;TI;COLOMBIA;F;23/07/0003;20211;SB11202110009357;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;1  a  2;Dos;No  Aplica;Educación  profesional  completa;No  aplica;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Si;Si;Si;Si;Si;Si;No;No;11  A  25  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;No  leo  por  entretenimiento;Entre  1  y  3  horas;0;No;170621;476001029180;COLEGIO  CAMPESTRE  ANGLO  HISPANO;MIXTO;NO  OFICIAL;B;;ACADÉMICO;476001029180;COLEGIO  CAMPESTRE  ANGLO  HISPANO  -  SEDE  PRINCIPAL;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;48;13;2;55;30;3;46;16;2;42;13;2;68.0;44.0;B1;247;;19.0;PUBLICAR
15143;TI;COLOMBIA;F;30/01/2003;20211;SB11202110018152;ESTUDIANTE;COLOMBIA;No;BOGOTÁ;11.0;BOGOTÁ  D.C.;11001.0;Estrato  4;3  a  4;Dos;Educación  profesional  completa;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;No;MÁS  DE  100  LIBROS;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;3  a  5  veces  por  semana;Igual;No  leo  por  entretenimiento;Más  de  3  horas;0;No;19489;311848002351;COL  SANTA  FRANCISCA  ROMANA;FEMENINO;NO  OFICIAL;B;S;ACADÉMICO;311848002351;COL  SANTA  FRANCISCA  ROMANA;S;URBANO;COMPLETA;11001;BOGOTÁ  D.C.;11;BOGOTÁ;N;11001;BOGOTÁ  D.C.;BOGOTÁ;11;62;45;3;64;56;3;61;59;3;67;74;3;85.0;86.0;B+;326;;62.0;PUBLICAR
8917;TI;COLOMBIA;F;21/10/2003;20211;SB11202110010373;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  5;3  a  4;Dos;Educación  profesional  completa;Postgrado;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;1  o  2  veces  por  semana;3  a  5  veces  por  semana;1  o  2  veces  por  semana;Peor;No  leo  por  entretenimiento;Más  de  3  horas;Entre  11  y  20  horas;No;17335;376001000276;COL  BERCHMANS;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001000276;COL  BERCHMANS;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;61;44;3;62;48;3;60;54;3;60;50;3;83.0;80.0;B+;312;;52.0;PUBLICAR
14632;TI;COLOMBIA;F;18/05/2004;20211;SB11202110017834;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;PALMIRA;76520.0;Estrato  2;1  a  2;Uno;Educación  profesional  completa;Secundaria  (Bachillerato)  completa;Pensionado;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;Si;Si;Si;No;No;MÁS  DE  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Nunca  o  rara  vez  comemos  eso;Peor;Más  de  2  horas;Entre  1  y  3  horas;0;No;18556;376520007151;COL  AGUSTINIANO  CAMPESTRE;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376520007151;COL  AGUSTINIANO  CAMPESTRE;S;URBANO;COMPLETA;76520;PALMIRA;76;VALLE;N;76520;PALMIRA;VALLE;76;70;81;4;54;28;3;56;39;3;60;51;3;76.0;60.0;B1;306;;48.0;PUBLICAR
6830;TI;COLOMBIA;M;21/07/0003;20211;SB11202110007571;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  5;3  a  4;Dos;Educación  profesional  completa;Educación  profesional  completa;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;No;MÁS  DE  100  LIBROS;1  o  2  veces  por  semana;Todos  o  casi  todos  los  días;1  o  2  veces  por  semana;Igual;Entre  1  y  2  horas;Entre  1  y  3  horas;0;No;628255;376001002279;COLEGIO  COLOMBO  BRITÁNICO;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;376001002279;COLEGIO  COLOMBO  BRITÁNICO;S;RURAL;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;74;91;4;71;78;4;67;78;3;76;94;4;77.0;62.0;B1;362;;86.0;PUBLICAR
11119;TI;COLOMBIA;F;30/03/2004;20211;SB11202110007670;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Uno;Secundaria  (Bachillerato)  completa;Educación  profesional  completa;Trabaja  por  cuenta  propia  (por  ejemplo  plomero,  electricista);Es  vendedor  o  trabaja  en  atención  al  público;Si;Si;Si;Si;Si;Si;No;No;0  A  10  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Igual;30  minutos  o  menos;Entre  1  y  3  horas;0;No;17814;376001001868;LICEO    JUAN    XXIII;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001001868;LICEO    JUAN    XXIII;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;59;35;3;58;37;3;56;42;3;54;35;2;56.0;26.0;A1;283;;35.0;PUBLICAR
4115;TI;COLOMBIA;F;11/10/2005;20211;SB11202110013218;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  3;5  a  6;Cuatro;Educación  profesional  completa;Secundaria  (Bachillerato)  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Si;Si;Si;No;Si;Si;Si;Si;0  A  10  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;Entre  1  y  2  horas;Más  de  3  horas;Entre  21  y  30  horas;No;53058;376001007009;COLEGIO  LA  PRESENTACION  EL  PARAISO;MIXTO;NO  OFICIAL;B;N;TÉCNICO;376001007009;COLEGIO  LA  PRESENTACION  EL  PARAISO;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;59;37;3;61;48;3;49;22;2;49;25;2;54.0;22.0;A1;272;;29.0;PUBLICAR
4035;TI;COLOMBIA;M;04/01/2003;20211;SB11202110000302;ESTUDIANTE;COLOMBIA;No;CUNDINAMARCA;25.0;ZIPAQUIRÁ;25899.0;Estrato  4;5  a  6;Uno;No  sabe;Educación  profesional  completa;No  sabe;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;Si;Si;MÁS  DE  100  LIBROS;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;1  o  2  veces  por  semana;Mejor;Entre  30  y  60  minutos;30  minutos  o  menos;0;No;22012;411769000101;COL  SAN  VIATOR                                                                                                                                                                            ;MASCULINO;NO  OFICIAL;B;N;ACADÉMICO;411769000101;COLEGIO  SAN  VIATOR  BILINGUE  INTERNACIONAL;S;RURAL;COMPLETA;11001;BOGOTÁ  D.C.;11;BOGOTÁ;N;25899;ZIPAQUIRÁ;CUNDINAMARCA;25;50;15;2;53;26;3;56;42;3;56;39;3;63.0;36.0;A2;272;;29.0;PUBLICAR
13256;TI;COLOMBIA;F;11/04/2005;20211;SB11202110003024;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;5  a  6;Cuatro;Educación  profesional  completa;Técnica  o  tecnológica  completa;Es  dueño  de  un  negocio  grande,  tiene  un  cargo  de  nivel  directivo  o  gerencial;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;Si;Si;Si;No;Si;MÁS  DE  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;Más  de  2  horas;Entre  1  y  3  horas;0;Si,  en  especie;36681;376001026925;COMFANDI  MIRAFLORES;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001026925;COMFANDI  MIRAFLORES;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;66;64;4;66;62;3;72;91;4;62;57;3;68.0;45.0;B1;333;;67.0;PUBLICAR
8228;TI;COLOMBIA;M;09/11/2004;20211;SB11202110003128;ESTUDIANTE;COLOMBIA;No;CAUCA;19.0;POPAYÁN;19001.0;Estrato  3;3  a  4;Tres;Educación  profesional  completa;No  sabe;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;No;Si;Si;No;No;No;26  A  100  LIBROS;;Nunca  o  rara  vez  comemos  eso;Nunca  o  rara  vez  comemos  eso;Igual;30  minutos  o  menos;Entre  1  y  3  horas;0;No;79095;319001002151;COL  GUILLERMO  LEON  VALENCIA;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;319001002151;COL  GUILLERMO  LEON  VALENCIA;S;URBANO;MAÑANA;19001;POPAYÁN;19;CAUCA;N;19001;POPAYÁN;CAUCA;19;49;14;2;49;19;2;45;14;2;38;9;1;45.0;11.0;A-;226;;12.0;PUBLICAR
4220;TI;COLOMBIA;F;18/02/2004;20211;SB11202110001277;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  2;3  a  4;Tres;Educación  profesional  completa;Técnica  o  tecnológica  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;1  o  2  veces  por  semana;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Igual;Entre  1  y  2  horas;Entre  1  y  3  horas;0;No;17004;376001002376;COLEGIO  HISPANOAMERICANO;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001002376;COLEGIO  HISPANOAMERICANO;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;72;85;4;72;80;4;61;57;3;71;86;4;81.0;74.0;B+;350;;78.0;PUBLICAR
4210;TI;COLOMBIA;F;03/02/2004;20211;SB11202110001631;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  6;3  a  4;Tres;Postgrado;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Tiene  un  trabajo  de  tipo  auxiliar  administrativo  (por  ejemplo,  secretario  o  asistente);Si;Si;Si;Si;Si;Si;No;Si;11  A  25  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;30  minutos  o  menos;Más  de  3  horas;0;No;17004;376001002376;COLEGIO  HISPANOAMERICANO;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001002376;COLEGIO  HISPANOAMERICANO;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;61;42;3;69;70;3;65;70;3;54;35;2;69.0;46.0;B1;314;;54.0;PUBLICAR
13795;TI;COLOMBIA;F;25/01/2003;20211;SB11202110004723;ESTUDIANTE;COLOMBIA;No;ATLANTICO;8.0;BARRANQUILLA;8001.0;Estrato  3;5  a  6;Cuatro;Educación  profesional  completa;Educación  profesional  incompleta;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;30  minutos  o  menos;Entre  1  y  3  horas;0;No;118364;308001073952;COLEGIO  ALTAMIRA;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;308001073952;COLEGIO  ALTAMIRA;S;URBANO;COMPLETA;8573;PUERTO  COLOMBIA;8;ATLANTICO;N;8001;BARRANQUILLA;ATLANTICO;8;72;86;4;67;64;3;64;68;3;68;76;3;88.0;95.0;B+;347;;76.0;PUBLICAR
